trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.005, 'e': 0.8337120858870376}",30,5,-123.97941079189965,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",1
118,False,"{'a': 0.005, 'e': 0.8309406791001636}",25,0,-172.00834743069512,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
119,False,"{'a': 0.005, 'e': 0.8281484988395901}",30,0,-191.78174843122628,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
120,False,"{'a': 0.005, 'e': 0.8253356149096783}",20,0,-100.69481264598502,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
121,False,"{'a': 0.005, 'e': 0.82250209763238}",25,0,-192.58420163969885,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
122,False,"{'a': 0.005, 'e': 0.8196480178454795}",25,0,-132.66245261205208,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
123,False,"{'a': 0.005, 'e': 0.8167734469008229}",20,10,-7.641904677402886,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.005, 'e': 0.8138784566625339}",20,0,-93.3648464971015,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
125,False,"{'a': 0.005, 'e': 0.8109631195052179}",25,0,-65.87153672491907,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
126,False,"{'a': 0.005, 'e': 0.8080275083121519}",20,0,-34.06480398331364,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.005, 'e': 0.8050716964734628}",25,0,-102.20394017108686,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
128,False,"{'a': 0.005, 'e': 0.8020957578842927}",30,0,-107.86045684307172,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
129,False,"{'a': 0.005, 'e': 0.7990997669429512}",25,0,-60.04540175591768,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
130,False,"{'a': 0.005, 'e': 0.7960837985490558}",20,0,-62.25149005863966,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
131,False,"{'a': 0.005, 'e': 0.7930479281016595}",25,0,-45.12365848017174,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
132,False,"{'a': 0.005, 'e': 0.7899922314973651}",20,0,-88.30669000827258,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
133,False,"{'a': 0.005, 'e': 0.7869167851284287}",25,0,-96.75382977975994,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
134,False,"{'a': 0.005, 'e': 0.7838216658808492}",25,6,-56.259005838660634,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
135,False,"{'a': 0.005, 'e': 0.7807069511324468}",25,2,-36.56709579165422,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 0}",1
136,False,"{'a': 0.005, 'e': 0.7775727187509279}",25,0,-63.09003375513731,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
137,False,"{'a': 0.005, 'e': 0.7744190470919388}",20,0,-20.538546834576326,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.005, 'e': 0.7712460149971065}",20,0,-68.45917384131549,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
139,False,"{'a': 0.005, 'e': 0.7680537017920684}",25,0,-18.72416907423087,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.005, 'e': 0.7648421872844884}",25,0,-32.37870480151988,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
141,False,"{'a': 0.005, 'e': 0.7616115517620617}",25,0,-89.70307752756969,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
142,False,"{'a': 0.005, 'e': 0.7583618759905082}",30,0,-35.35453938623926,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
143,False,"{'a': 0.005, 'e': 0.7550932412115529}",20,6,-35.38832008015965,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.005, 'e': 0.7518057291408949}",30,0,-120.92433401612419,"{0: 16, 1: 2, 2: 11, 3: 1, 4: 0}",0
145,False,"{'a': 0.005, 'e': 0.7484994219661651}",25,0,-44.03974513889074,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
146,False,"{'a': 0.005, 'e': 0.7451744023448704}",25,0,-59.95635741322029,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
147,False,"{'a': 0.005, 'e': 0.7418307534023282}",25,0,-95.03190850624684,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.005, 'e': 0.7384685587295879}",20,0,-53.79008833753945,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.005, 'e': 0.7350879023813413}",20,0,-122.49323842172242,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
150,False,"{'a': 0.005, 'e': 0.7316888688738209}",35,23,2.817187111507856,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.005, 'e': 0.7282715431826874}",30,7,-100.95851332480923,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
152,False,"{'a': 0.005, 'e': 0.7248360107409052}",20,11,-11.757743372343096,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.005, 'e': 0.7213823574366063}",20,2,-60.889726333134014,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 0}",1
154,False,"{'a': 0.005, 'e': 0.7179106696109434}",25,0,-66.35152126876734,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
155,False,"{'a': 0.005, 'e': 0.7144210340559313}",25,1,-108.54317739120201,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 1}",1
156,False,"{'a': 0.005, 'e': 0.7109135380122773}",30,0,-122.09730889093566,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
157,False,"{'a': 0.005, 'e': 0.7073882691671998}",30,10,-76.12990684580379,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
158,False,"{'a': 0.005, 'e': 0.7038453156522361}",20,0,-129.66025500771553,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
159,False,"{'a': 0.005, 'e': 0.7002847660410396}",25,6,-16.379882213709006,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
160,False,"{'a': 0.005, 'e': 0.6967067093471654}",25,0,-22.47064969353621,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
161,False,"{'a': 0.005, 'e': 0.6931112350218442}",20,0,-28.626183792736057,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
162,False,"{'a': 0.005, 'e': 0.689498432951747}",35,0,-73.62537918680464,"{0: 25, 1: 2, 2: 6, 3: 2, 4: 0}",0
163,False,"{'a': 0.005, 'e': 0.6858683934567373}",20,0,-108.13072210131234,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
164,False,"{'a': 0.005, 'e': 0.6822212072876135}",25,0,-84.00005392711368,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
